org,scraped_at,headline_1,headline_2,headline_3
https://www.economist.com,2024-11-28 05:39:57.350818,"Elon Musk’s xAI goes after OpenAI, https://www.economist.com/business/2024/11/27/elon-musks-xai-goes-after-openai","Does Donald Trump have unlimited authority to impose tariffs?, https://www.economist.com/united-states/2024/11/27/does-donald-trump-have-unlimited-authority-to-impose-tariffs","Peace in Lebanon is just a start, https://www.economist.com/leaders/2024/11/27/peace-in-lebanon-is-just-a-start"
https://www.lemonde.fr/en/,2024-11-28 05:39:55.247174,"With her latest production, French theater giant Ariane Mnouchkine on the warpath, https://www.lemonde.fr/en/culture/article/2024/11/28/with-her-latest-production-french-theater-giant-ariane-mnouchkine-takes-warpath_6734407_30.html","Tens of thousands in Lebanon head home as Israel-Hezbollah truce takes hold, https://www.lemonde.fr/en/international/article/2024/11/27/tens-of-thousands-in-lebanon-head-home-as-israel-hezbollah-truce-takes-hold_6734353_4.html","Biden administration tells Ukraine to lower conscription age to 18: 'Manpower is the most vital need', https://www.lemonde.fr/en/international/article/2024/11/28/biden-administration-tells-ukraine-to-lower-conscription-age-to-18-manpower-is-the-most-vital-need_6734381_4.html"
https://www.bbc.com,2024-11-28 05:39:54.460652,"Air raid alert across Ukraine as multiple explosions reported, https://www.bbc.com/news/articles/cwy15lp21l3o","The Lebanon ceasefire is a respite, not a solution for the Middle East, https://www.bbc.com/news/articles/c5ygn5579gvo","Mexico leader responds to Trump claim she agreed to stop migration, https://www.bbc.com/news/articles/c89v4w51dzyo"
https://www.aljazeera.com,2024-11-28 05:39:53.667695,"‘Absolutely terrifying’: Israel pounds north Gaza as Lebanon truce holds, https://www.aljazeera.com/news/liveblog/2024/11/28/live-fragile-truce-holds-in-lebanon-north-gaza-absolutely-terrifying","Dozens killed as armed groups attack Syrian military in northern Aleppo, https://www.aljazeera.com/news/2024/11/28/dozen-killed-as-armed-groups-attack-syrian-military-in-northern-aleppo","Biden OKs $680m Israel arms sale despite new Gaza ceasefire push: Reports, https://www.aljazeera.com/news/2024/11/27/biden-oks-680m-israel-arms-sale-despite-new-gaza-ceasefire-push-reports"
https://www.economist.com,2024-11-27 05:39:19.865585,"Trump wastes no time in reigniting trade wars, https://www.economist.com/finance-and-economics/2024/11/26/trump-wastes-no-time-in-reigniting-trade-wars","Israel and Hizbullah strike a fragile deal to end their war, https://www.economist.com/middle-east-and-africa/2024/11/26/israel-and-hizbullah-strike-a-fragile-deal-to-end-their-war","As Jack Smith exits, Donald Trump’s allies hint at retribution, https://www.economist.com/united-states/2024/11/26/as-jack-smith-exits-donald-trumps-allies-hint-at-retribution"
https://www.lemonde.fr/en/,2024-11-27 05:39:18.869199,"Israel and Lebanon's Hezbollah ceasefire takes effect, https://www.lemonde.fr/en/international/article/2024/11/26/israel-and-lebanon-s-hezbollah-agree-to-a-ceasefire-started-on-wednesday_6734226_4.html","51 men are standing trial for the rapes of Gisèle Pelicot. Here's who they are and what they said in court, https://www.lemonde.fr/en/france/visuel/2024/11/27/51-men-are-standing-trial-for-the-rapes-of-gisele-pelicot-here-s-who-they-are-and-what-they-said-in-court_6734251_7.html","Tariffs: 'American trade restrictions worsened the 1929 market crash and accelerated its spread to Europe', https://www.lemonde.fr/en/opinion/article/2024/11/27/tariffs-american-trade-restrictions-worsened-the-1929-market-crash-and-accelerated-its-spread-to-europe_6734240_23.html"
https://www.bbc.com,2024-11-27 05:39:18.127691,"What we know about Israel-Hezbollah ceasefire deal, https://www.bbc.com/news/articles/cx2d3gj9ewxo","Israeli anger at 'irresponsible and hasty' ceasefire, https://www.bbc.com/news/articles/cj3m4n4lmrko","Israel warns south Lebanese civilians not to go home as ceasefire with Hezbollah begins, https://www.bbc.com/news/live/cnvjl42g9m1t"
https://www.aljazeera.com,2024-11-27 05:39:17.439470,"‘Fragile truce’: Lebanon peace hopes as Israel, Hezbollah ceasefire starts, https://www.aljazeera.com/news/liveblog/2024/11/27/live-countdown-to-lebanon-ceasefire-as-israel-reaches-deal-with-hezbollah","Israel-Hezbollah ceasefire agreement begins in Lebanon, https://www.aljazeera.com/news/2024/11/26/biden-announces-israel-hezbollah-ceasefire-agreement","Vietnam’s richest man vies to dethrone SE Asia’s ride-hailing king, Grab, https://www.aljazeera.com/economy/2024/11/27/vietnams-richest-man-is-vying-to-dethrone-asias-ride-hailing-king-grab"
https://www.economist.com,2024-11-26 05:38:43.029224,"Nobody knows why ultra-processed foods are bad for you, https://www.economist.com/science-and-technology/2024/11/25/nobody-knows-why-ultra-processed-foods-are-bad-for-you","Democratic states are preparing for Donald Trump’s return, https://www.economist.com/united-states/2024/11/25/democratic-states-are-preparing-for-donald-trumps-return","The frightening maths of Europe’s military black hole, https://www.economist.com/europe/2024/11/25/the-frightening-maths-of-europes-military-black-hole"
https://www.lemonde.fr/en/,2024-11-26 05:38:41.938725,"Trump, saved by American voters, escapes federal prosecution for attempt to overturn 2020 election, https://www.lemonde.fr/en/international/article/2024/11/26/trump-saved-by-american-voters-escapes-federal-prosecution-for-attempt-to-overturn-2020-election_6734112_4.html","Le Pen's party ideas are taking root, but so is doubt about its ability to govern, https://www.lemonde.fr/en/france/article/2024/11/26/le-pen-s-party-ideas-are-taking-root-but-so-is-doubt-about-its-ability-to-govern_6734132_7.html","In East Jerusalem, a record number of homes destroyed to drive out Palestinian residents, https://www.lemonde.fr/en/international/article/2024/11/26/in-east-jerusalem-a-record-number-of-homes-destroyed-to-drive-out-palestinian-residents_6734111_4.html"
