org,scraped_at,headline_1,headline_2,headline_3
https://www.economist.com,2024-07-11 05:34:22.493245,"Joe Biden is failing to silence calls that he step aside, https://www.economist.com/united-states/2024/07/10/joe-biden-is-failing-to-silence-calls-that-he-step-aside","The EV trade war between China and the West heats up, https://www.economist.com/business/2024/07/10/the-ev-trade-war-between-china-and-the-west-heats-up","Narendra Modi cuddles up to Vladimir Putin in Moscow, https://www.economist.com/asia/2024/07/10/narendra-modi-cuddles-up-to-vladimir-putin-in-moscow"
https://www.lemonde.fr/en/,2024-07-11 05:34:21.570775,"On NATO's eastern flank, on the Russian border, the 'pre-war era' has begun, https://www.lemonde.fr/en/international/article/2024/07/11/on-nato-s-eastern-flank-on-the-russian-border-the-pre-war-era-has-begun_6680829_4.html","Macron urges lawmakers to build  broad 'republican' coalition to break deadlock, https://www.lemonde.fr/en/politics/article/2024/07/10/french-elections-no-one-has-won-macron-says-in-letter-to-the-french_6680394_5.html","Harris becomes tempting alternative to a weakened Biden, https://www.lemonde.fr/en/international/article/2024/07/10/us-election-kamala-harris-becomes-tempting-alternative-to-a-weakened-joe-biden_6680432_4.html"
https://www.bbc.com,2024-07-11 05:34:20.920982,"Nato vows 'irreversible path' to Ukraine membership, https://www.bbc.com/news/articles/c29d03574zdo","Triple killing suspect captured near cemetery, https://www.bbc.com/news/articles/cl4y8ljjexro","Biden's bruising day sinks hopes Democrats will move on, https://www.bbc.com/news/articles/c3g07ng2mn1o"
https://www.aljazeera.com,2024-07-11 05:34:20.169094,"Bodies ‘filling the streets’; Gaza City under Israeli mass evacuation order, https://www.aljazeera.com/news/liveblog/2024/7/11/israels-war-on-gaza-live-bodies-filling-the-streets-in-gaza-city","NATO promises Ukraine $43bn in aid, ‘irreversible path’ to membership, https://www.aljazeera.com/news/2024/7/11/nato-promises-ukraine-43bn-in-aid-irreversible-path-to-membership","Biden’s candidacy in crisis as Clooney, US senator call on him to quit, https://www.aljazeera.com/news/2024/7/11/bidens-candidacy-in-crisis-as-clooney-us-senator-call-on-him-to-quit"
https://www.economist.com,2024-07-10 05:33:56.238345,"Anguish about Joe Biden’s candidacy is rational, polls suggest, https://www.economist.com/united-states/2024/07/09/anguish-about-joe-bidens-candidacy-is-rational-polls-suggest","How strongmen abuse tools for fighting financial crime, https://www.economist.com/finance-and-economics/2024/07/09/how-strongmen-abuse-tools-for-fighting-financial-crime","What does Labour’s win mean for British foreign policy?, https://www.economist.com/britain/2024/07/09/what-does-labours-win-mean-for-british-foreign-policy"
https://www.lemonde.fr/en/,2024-07-10 05:33:55.181994,"Thorny negotiations on the left over choice of prime minister candidate, https://www.lemonde.fr/en/politics/article/2024/07/10/french-elections-thorny-negotiations-on-the-left-over-choice-of-prime-minister-candidate_6679784_5.html","Bardella heads 'Patriots for Europe', EU Parliament's third-largest group, https://www.lemonde.fr/en/international/article/2024/07/10/bardella-heads-the-third-largest-group-of-the-eu-parliament-patriots-for-europe_6679639_4.html","In Brussels, some worry a 'paralyzed France' could no longer 'play the role of driving force', https://www.lemonde.fr/en/international/article/2024/07/10/in-brussels-some-worry-a-paralyzed-france-could-no-longer-play-the-role-of-driving-force_6679674_4.html"
https://www.bbc.com,2024-07-10 05:33:54.479511,"What are cognitive tests and what can they tell us about Biden and Trump?, https://www.bbc.com/news/articles/c4ngrlnlr08o","'Unimaginable' destruction after strike on Gaza camp, https://www.bbc.com/news/articles/c880k3930rmo","Biden forcefully defends Nato as he hosts summit leaders, https://www.bbc.com/news/articles/c51yg2g12jno"
https://www.aljazeera.com,2024-07-10 05:33:53.651014,"‘Massacre’: At least 29 killed as Israeli warplane hits another Gaza school, https://www.aljazeera.com/news/liveblog/2024/7/10/israel-war-on-gaza-live-israel-strikes-fourth-school-in-gaza-killing-29","Democrats discuss Biden’s fitness as 7th lawmaker calls on him to quit race, https://www.aljazeera.com/news/2024/7/10/democrats-discuss-bidens-fitness-as-7th-lawmaker-calls-on-him-to-quit-race","UN experts say Israel carrying out ‘targeted starvation campaign’ in Gaza, https://www.aljazeera.com/news/2024/7/9/un-experts-say-israel-carrying-out-targeted-starvation-campaign-in-gaza"
https://www.economist.com,2024-07-05 05:33:07.691792,"Why Biden must withdraw, https://www.economist.com/leaders/2024/07/04/why-biden-must-withdraw","Le Pen’s hard right looks set to dominate the French parliament, https://www.economist.com/europe/2024/07/03/le-pens-hard-right-looks-set-to-dominate-the-french-parliament","How spies should use technology, https://www.economist.com/leaders/2024/07/04/how-spies-should-use-technology"
https://www.lemonde.fr/en/,2024-07-05 05:33:05.188158,"UK general election: Labour sweeps to landslide victory, https://www.lemonde.fr/en/international/article/2024/07/04/exit-poll-suggests-labour-party-wins-huge-majority-in-british-election_6676725_4.html","French elections: Growing reports of racist and homophobic assaults, https://www.lemonde.fr/en/france/article/2024/07/04/french-elections-growing-reports-of-racist-and-homophobic-assaults_6676706_7.html","Dominique Eddé: 'The July 7 elections are a chance to say 'yes' to life and 'no' to death', https://www.lemonde.fr/en/opinion/article/2024/07/05/dominique-edde-the-july-7-elections-are-a-chance-to-say-yes-to-life-and-no-to-death_6676749_23.html"
